ORDER_ID,ITEM_PRICE,ITEM_QUANTITY,SHIPPING_ADDRESS,TOTAL_SHIPPING_COST,TOTAL_COST,TIMESTAMP,PRODUCT_ID,USER_ID
1143719601,407.57,37,Chris        669 Golden First Highway            75942  Pinole               Maine           ,196.77,15276.86,2022-10-27,2753,4343925117
1165455274,269.68,70,Dorsey       798 Dewy Pony Way                   67869  Konawa               Indiana         ,174.16,19051.760000000002,2022-11-23,7166,4198464019
1063527226,151.81,69,Kim          38 Cozy Light                       41509  Reedley              Mississippi     ,194.57,10669.46,2022-02-01,885,2266332287
1026791007,152.05,62,Harlan       113 Field Track                     04523  Morganfield          Texas           ,105.13,9532.23,2022-07-21,885,7819747575
1129632057,362.55,58,Danyell      140 Stony Haven                     30669  Storla               South Dakota    ,94.0,21121.9,2023-02-02,1356,7300831391
1780926565,491.16,2,Burton       874 Mall Causeway                   49000  New Deal             Pennsylvania    ,84.65,1066.97,2023-01-13,7581,7911206985
1823912368,306.03,15,Lida         450 SE Kennedy Swale                49108  Cloverleaf           Oklahoma        ,135.49,4725.94,2022-11-11,8012,6496693349
1115428528,268.95,32,Edwardo      711 Cedar Heights                   90012  Kewaskum village     Massachusetts   ,151.67,8758.07,2022-08-24,1406,8717405776
1222395248,177.89,58,Halley       P.O. Box 96459                      00115  Jarales              California      ,126.28,10443.9,2023-01-06,2527,8852616317
1571209439,205.39,67,Bulah        652 SE Autumn Pathway               67724  Ruston               Kansas          ,69.93,13831.06,2022-10-06,2684,2505510886
1554284628,497.58,50,Lazaro       372 Harvest Timber Nook             46236  Elida village        Massachusetts   ,162.74,25041.74,2023-03-30,7807,6344140031
1105040243,481.11,57,Eldon        692 Treasure Ridge                  22220  Denmark              Kansas          ,67.38,27490.65,2022-06-19,5850,5914556352
1704293789,467.53,54,Pamella      72 Dusty Highway                    65489  Cuero                Oregon          ,134.69,25381.309999999998,2023-01-28,8732,8617038557
1498012945,360.2,14,Mckinley     599 Beacon Terrace                  42076  Prairie Rose         Indiana         ,185.02,5227.820000000001,2022-04-19,1295,4362231100
1623260111,246.65,26,Josh         878 Shady Isle                      92330  Hammond village      California      ,136.29,6549.1900000000005,2022-08-07,711,3791865781
1304913605,269.25,5,Rosalba      P.O. Box 37915                      33864  Everly               Delaware        ,121.92,1468.17,2022-04-19,7248,5369889079
1007777789,428.42,106,Kip          476 Flat Highway                    75740  McLemoresville       Arkansas        ,106.32,24097.84,2022-03-15,3525,4783310836
1177573441,469.44,27,Micaela      418 Noble Deer Vale                 17629  Anawalt              Louisiana       ,111.07,12785.949999999999,2022-07-14,430,7703380066
1198699061,196.26,41,Arron        941 Cedar Alley                     44094  Ceres                Alaska          ,188.16,8234.82,2023-02-18,3579,9183991022
1355715562,219.7,15,Arianne      P.O. Box 51217                      20540  Lake Louise          Delaware        ,145.98,3441.48,2022-04-25,496,1488666734
